Pays,Inscrits,Votants,% part.,Suffrages Exprimés,JOLY,LE PEN,SARKOZY,MELENCHON,POUTOU,ARTHAUD,CHEMINADE,BAYROU,DUPONT-AIGNAN,HOLLANDE,
AFGHANISTAN,166,65,39,16%,65,8,2,15,7,0,0,0,9,1,23
AFRIQUE DU SUD,4497,1584,35,22%,1557,70,128,746,81,9,1,6,187,25,304
ALBANIE,111,84,75,68%,82,6,3,25,7,2,0,0,7,3,29
ALGERIE,22795,4331,19,00%,4264,82,96,488,624,23,12,11,233,29,2666
ALLEMAGNE,71975,26322,36,57%,26095,2899,975,7414,1978,200,74,98,3746,316,8395
ANDORRE,2674,1216,45,47%,1198,39,205,511,108,13,6,2,87,24,203
ANGOLA,1066,480,45,03%,468,18,29,189,30,4,2,5,60,10,121
ARABIE SAOUDITE,2834,1119,39,48%,1096,37,92,455,77,3,2,4,117,14,295
ARGENTINE,12919,2869,22,21%,2835,140,176,1041,293,21,12,22,199,41,890
ARMENIE,399,184,46,12%,181,1,12,116,12,4,0,2,12,2,20
AUSTRALIE,14908,4830,32,40%,4770,409,327,1817,310,20,18,23,616,87,1143
AUTRICHE,4906,2478,50,51%,2453,252,68,689,213,15,9,13,380,26,788
AZERBAIDJAN,115,75,65,22%,74,4,7,20,9,0,0,0,12,0,22
BAHREIN,637,298,46,78%,297,8,26,136,13,1,1,1,41,3,67
BANGLADESH,156,88,56,41%,88,5,2,16,12,0,0,0,14,0,39
BELGIQUE ,65718,33407,50,83%,33121,1954,2344,11556,3609,261,117,142,4319,490,8442
BENIN,2320,1054,45,43%,1044,38,28,205,63,6,4,2,61,7,630
BIELORUSSIE,79,51,64,56%,50,3,7,15,10,0,1,0,4,1,9
BIRMANIE,145,108,74,48%,108,15,7,40,12,2,0,0,4,0,28
BOLIVIE,829,348,41,98%,342,23,24,83,43,6,0,1,38,1,123
BOSNIE-HERZEGOVINE,175,115,65,71%,113,7,8,28,7,1,0,0,14,2,46
BOTSWANA,68,48,70,59%,46,4,0,12,2,0,0,0,4,0,24
BRESIL,14868,4276,28,76%,4217,225,180,1769,372,24,7,13,332,34,1261
BRUNEI,111,78,70,27%,78,3,3,38,6,0,0,0,5,1,22
BULGARIE,581,331,56,97%,325,24,28,121,21,2,0,2,44,6,77
BURKINA FASO,1978,1120,56,62%,1105,50,51,265,123,7,3,1,110,2,493
BURUNDI,272,184,67,65%,180,11,7,40,31,0,0,0,19,0,72
CAMBODGE,2317,938,40,48%,932,78,76,304,84,5,4,0,82,4,295
CAMEROUN,3694,1932,52,30%,1909,52,112,713,103,11,7,4,154,29,724
CANADA,65516,24941,38,07%,24694,1738,1745,6894,2384,200,56,90,3253,374,7960
CAP VERT,268,79,29,48%,76,8,0,21,12,1,0,0,7,0,27
CENTRAFRICAINE (REPUBLIQUE),697,369,52,94%,364,21,16,105,20,3,0,0,34,2,163
CHILI,8926,2677,29,99%,2642,109,110,1216,277,21,10,3,148,22,726
CHINE ,18221,9860,54,11%,9744,448,339,4743,485,37,13,24,1364,85,2206
CHYPRE,956,381,39,85%,375,12,25,168,34,1,4,0,31,9,91
COLOMBIE,3224,992,30,77%,979,45,47,292,137,4,1,9,99,7,338
COMORES,1286,381,29,63%,379,9,19,61,21,1,1,3,20,1,243
CONGO,3273,1726,52,73%,1711,50,128,699,71,5,2,2,127,18,609
CONGO (REPUBLIQUE DEMOCRATIQUE),1389,502,36,14%,498,15,42,165,43,0,0,1,36,4,192
COREE,972,562,57,82%,549,31,16,183,46,2,1,0,89,2,179
COSTA RICA,1334,477,35,76%,474,31,35,194,42,8,2,0,32,5,125
COTE D`IVOIRE,8660,3575,41,28%,3563,44,121,2148,129,4,3,2,130,14,968
CROATIE,538,199,36,99%,196,10,18,73,8,3,2,1,18,4,59
CUBA,294,157,53,40%,155,9,6,35,37,1,1,0,7,3,56
DANEMARK,3298,1418,43,00%,1411,163,46,318,155,9,1,4,203,16,496
DJIBOUTI,3019,1981,65,62%,1947,32,418,718,110,14,8,7,139,30,471
DOMINICAINE (REPUBLIQUE),2183,756,34,63%,750,29,84,344,58,8,3,4,45,5,170
EGYPTE,4238,1502,35,44%,1492,68,62,466,174,11,2,3,164,20,522
EL SALVADOR,431,207,48,03%,204,9,10,109,16,0,1,1,12,6,40
EMIRATS ARABES UNIS,8617,4538,52,66%,4499,122,305,2308,209,11,7,12,513,35,977
EQUATEUR,1303,584,44,82%,554,34,24,196,97,2,4,2,40,8,147
ESPAGNE,64276,21503,33,45%,21275,1285,1293,7889,2535,207,67,94,1856,254,5795
ESTONIE,108,69,63,89%,69,3,7,30,7,1,1,0,8,1,11
ETATS-UNIS D`AMERIQUE,92251,27991,30,34%,27700,1493,1253,12861,1345,121,38,81,3321,320,6867
ETHIOPIE,561,327,58,29%,324,23,8,69,45,2,0,1,25,3,148
FIDJI ,107,52,48,60%,52,5,2,12,4,0,0,1,7,1,20
FINLANDE,1563,759,48,56%,751,62,34,203,85,9,1,4,127,5,221
GABON,6827,3519,51,55%,3484,94,345,1613,161,12,5,13,240,27,974
GEORGIE,162,109,67,28%,107,4,13,41,18,0,0,0,16,1,14
GHANA,528,300,56,82%,295,18,11,121,22,0,0,0,33,0,90
GRECE,7762,2873,37,01%,2844,191,147,742,564,51,16,28,239,50,816
GUATEMALA,513,201,39,18%,200,7,14,85,41,0,2,1,13,1,36
GUINEE,1625,528,32,49%,519,13,13,157,31,7,0,1,31,5,261
GUINEE BISSAU,85,33,38,82%,33,4,5,7,3,0,0,0,1,0,13
GUINEE EQUATORIALE,418,161,38,52%,161,2,12,60,13,0,0,0,11,0,63
HAITI,1086,403,37,11%,395,37,18,116,52,1,4,1,35,0,131
HONDURAS,244,109,44,67%,108,9,3,36,15,1,0,0,5,0,39
HONGRIE,1498,815,54,41%,806,55,39,328,65,5,2,2,105,7,198
INDE,6852,3263,47,62%,3205,114,80,1156,185,34,34,26,273,61,1242
INDONESIE,1823,727,39,88%,714,39,43,321,43,5,0,2,71,9,181
IRAK,99,61,61,62%,60,4,6,15,8,1,0,1,6,1,18
IRAN,584,211,36,13%,201,8,6,63,7,0,0,0,21,3,93
IRLANDE ,5309,1963,36,97%,1945,149,84,514,210,18,7,8,293,45,617
ISLANDE,229,138,60,26%,136,31,3,17,23,1,0,0,18,1,42
ISRAEL,49159,7289,14,83%,7196,40,287,5954,70,20,7,11,199,60,548
ITALIE,33807,10659,31,53%,10575,630,716,3413,939,106,75,43,867,156,3630
JAMA�QUE,144,55,38,19%,55,3,3,22,2,0,0,0,8,1,16
JAPON,4748,2300,48,44%,2288,183,158,663,208,17,7,5,343,35,669
JERUSALEM,13452,2162,16,07%,2106,25,76,1581,55,4,4,4,131,26,200
JORDANIE,870,434,49,89%,432,23,10,124,48,6,1,0,49,2,169
KAZAKHSTAN,252,132,52,38%,130,4,7,42,4,0,0,0,23,2,48
KENYA,749,432,57,68%,424,24,20,116,34,1,0,1,50,2,176
KOSOVO,56,40,71,43%,39,2,7,15,3,0,0,0,3,0,9
KOWEIT,359,315,87,74%,311,11,37,116,20,0,1,3,32,9,82
LAOS,1234,505,40,92%,490,45,35,110,68,4,5,2,56,4,161
LETTONIE,101,76,75,25%,75,3,19,14,5,0,0,0,12,0,22
LIBAN,14730,7850,53,29%,7708,165,684,4135,350,42,20,25,690,76,1521
LIBYE,286,29,10,14%,29,0,1,20,0,0,0,0,2,0,6
LITUANIE,208,145,69,71%,144,6,15,47,19,1,0,1,20,4,31
LUXEMBOURG,16697,9403,56,32%,9292,475,727,3631,648,69,32,49,1528,134,2000
MACEDOINE,112,65,58,04%,65,4,6,6,5,0,2,0,10,0,32
MADAGASCAR,11639,5086,43,70%,5010,164,271,1550,299,39,26,27,376,78,2180
MALAISIE,1512,789,52,18%,780,38,37,375,37,2,0,3,101,6,181
MALI,4419,1298,29,37%,1293,42,31,254,131,9,1,1,70,4,750
MALTE,333,189,56,76%,184,11,18,75,8,2,0,2,19,5,44
MAROC,30104,15717,52,21%,15598,384,569,5690,1945,80,21,39,1131,107,5732
MAURICE,7075,3300,46,64%,3266,106,243,1656,135,11,8,16,230,23,838
MAURITANIE,1511,452,29,91%,440,31,26,128,50,3,0,2,37,3,160
MEXIQUE,13748,3670,26,69%,3589,183,201,1446,303,24,13,20,301,41,1057
MOLDAVIE,56,41,73,21%,41,2,2,13,6,0,0,0,5,1,12
MONACO,4370,2021,46,25%,2001,34,368,1171,78,12,4,7,116,20,201
MONGOLIE,71,42,59,15%,42,8,3,13,2,1,0,0,8,0,7
MONTENEGRO,56,25,44,64%,24,3,2,7,1,0,0,0,2,1,8
MOZAMBIQUE,286,168,58,74%,168,13,8,27,21,1,0,2,13,2,81
NAMIBIE,165,96,58,18%,94,8,14,33,7,0,0,0,13,1,18
NEPAL,147,83,56,46%,81,14,2,8,12,0,0,1,13,1,30
NICARAGUA,407,162,39,80%,160,12,6,44,42,1,0,0,5,2,48
NIGER,901,466,51,72%,461,16,26,121,34,5,1,1,35,3,219
NIGERIA,972,502,51,65%,500,16,35,214,36,3,1,0,53,6,136
NORVEGE,2992,1511,50,50%,1497,225,73,396,136,9,5,7,225,19,402
NOUVELLE-ZELANDE,1777,603,33,93%,597,87,16,149,63,4,2,2,73,13,188
OMAN,400,283,70,75%,279,11,17,113,21,1,0,1,32,5,78
OUGANDA,231,141,61,04%,140,10,8,46,15,3,0,0,9,0,49
OUZBEKISTAN,65,51,78,46%,51,6,4,15,7,2,0,0,4,0,13
PAKISTAN,339,124,36,58%,120,9,12,28,9,0,4,2,6,2,48
PANAMA,796,288,36,18%,286,14,21,142,14,4,1,0,34,0,56
PAPOUASIE NOUVELLE-GUINEE,61,27,44,26%,27,1,1,13,0,0,0,0,2,1,9
PARAGUAY,946,345,36,47%,330,13,72,163,16,1,3,2,18,7,35
PAYS-BAS,14016,5280,37,67%,5245,486,199,1503,422,40,17,27,794,55,1702
PEROU,2665,879,32,98%,867,55,47,283,93,11,3,4,79,12,280
PHILIPPINES,1270,415,32,68%,407,13,33,201,22,1,0,3,39,8,87
POLOGNE,4239,1501,35,41%,1485,63,118,638,82,7,1,5,204,18,349
PORTUGAL,9421,2809,29,82%,2767,114,162,1080,258,21,16,10,210,26,870
QATAR,2670,1369,51,27%,1341,35,93,578,117,0,2,4,142,7,363
ROUMANIE,1908,850,44,55%,842,39,46,403,52,4,1,3,109,7,178
ROYAUME UNI,71772,21116,29,42%,20908,1128,596,7548,1376,145,46,56,2796,260,6953
RUSSIE,3309,1799,54,37%,1776,72,171,793,108,6,4,2,241,15,364
RWANDA,157,118,75,15%,119,6,7,35,10,0,0,3,18,1,39
SAINTE-LUCIE,495,49,9,90%,49,5,2,8,5,1,1,1,3,3,20
SENEGAL,12072,4729,39,17%,4693,162,216,1508,395,25,14,11,342,45,1975
SERBIE,929,347,37,35%,340,14,44,83,34,6,1,1,27,14,116
SEYCHELLES,351,194,55,27%,193,5,14,98,14,0,0,0,17,1,44
SINGAPOUR,5361,3468,64,69%,3426,155,109,1791,121,8,3,3,543,11,682
SLOVAQUIE,488,308,63,11%,306,17,34,118,17,0,1,2,54,4,59
SLOVENIE,421,173,41,09%,170,10,8,42,18,0,3,1,26,4,58
SOUDAN,157,74,47,13%,74,8,4,14,6,1,0,1,9,2,29
SOUDAN DU SUD,23,14,60,87%,14,0,4,2,3,0,0,0,2,0,3
SRI LANKA,258,98,37,98%,95,3,8,30,9,2,0,0,8,0,35
SUEDE,3946,1855,47,01%,1840,259,76,485,160,14,3,9,285,25,524
SUISSE,107035,50096,46,80%,49620,2441,3966,20385,4187,488,155,200,7228,980,9701
SURINAM,147,46,31,29%,44,4,2,20,3,1,0,0,2,0,12
SYRIE,1583,28,1,77%,28,0,1,4,3,0,0,0,7,0,13
TADJIKISTAN,15,15,100,00%,15,3,2,2,0,0,0,0,1,0,7
TAIWAN,673,408,60,62%,404,35,32,128,41,4,2,2,71,4,85
TANZANIE,365,165,45,21%,165,8,3,53,13,0,0,1,13,1,73
TCHAD,815,341,41,84%,340,10,18,99,17,1,0,2,15,7,171
TCHEQUE (REPUBLIQUE),1650,1010,61,21%,1003,68,42,373,81,3,1,10,162,19,244
THAILANDE,5938,2415,40,67%,2385,91,414,931,144,15,3,8,274,36,469
TOGO,1923,865,44,98%,855,18,50,204,45,5,3,2,49,3,476
TRINITE ET TOBAGO,412,144,34,95%,140,6,8,54,6,0,0,0,23,4,39
TUNISIE,14293,6652,46,54%,6615,174,240,1500,901,45,23,18,486,57,3171
TURKMENISTAN,323,166,51,39%,162,5,14,86,16,0,0,0,12,3,26
TURQUIE,4294,1740,40,52%,1726,102,52,323,256,19,6,4,236,9,719
UKRAINE,523,318,60,80%,317,25,37,114,19,1,0,0,55,2,64
URUGUAY,2194,815,37,15%,779,35,49,232,74,9,5,2,78,9,286
VANUATU,1265,382,30,20%,380,15,25,227,28,5,0,0,24,3,53
VENEZUELA,3801,755,19,86%,747,21,38,437,66,3,1,2,35,7,137
VIETNAM,3747,2060,54,98%,1730,89,130,620,154,8,5,4,194,26,500
YEMEN,246,54,21,95%,50,2,4,6,8,1,0,0,9,0,20
ZAMBIE,131,53,40,46%,52,3,3,17,1,0,0,0,8,1,19
ZIMBABWE,136,62,45,59%,61,7,3,15,7,0,0,0,5,1,23
TOTAUX,1076246,409398,38,04%,404726,22067,24096,153749,33605,2849,1143,1464,46065,5175,114844
